형태소,품사,분류,카운트
,Foreign,1,1
!,Punctuation,1,86
!,Punctuation,2,9
!,Punctuation,3,1
!,Punctuation,4,2
!,Punctuation,5,4
!,Punctuation,6,4
!,Punctuation,7,16
!,Punctuation,8,56
!,Punctuation,9,55
!,Punctuation,10,351
!!,Punctuation,1,36
!!,Punctuation,4,1
!!,Punctuation,6,5
!!,Punctuation,7,4
!!,Punctuation,8,16
!!,Punctuation,9,38
!!,Punctuation,10,208
!!!,Punctuation,1,32
!!!,Punctuation,2,2
!!!,Punctuation,4,2
!!!,Punctuation,5,2
!!!,Punctuation,6,1
!!!,Punctuation,7,1
!!!,Punctuation,8,6
!!!,Punctuation,9,8
!!!,Punctuation,10,46
!!!!,Punctuation,1,14
!!!!,Punctuation,5,1
!!!!,Punctuation,8,2
!!!!,Punctuation,9,3
!!!!,Punctuation,10,24
!!!!-,Punctuation,10,1
"!!!""",Punctuation,6,1
"!!!""",Punctuation,10,1
!!(,Punctuation,7,1
!!(,Punctuation,8,1
!!...,Punctuation,10,2
"!""",Punctuation,1,1
!&#...,Punctuation,3,1
!..,Punctuation,2,1
!...,Punctuation,10,2
!....,Punctuation,7,1
!?,Punctuation,1,1
!?,Punctuation,5,1
!??,Punctuation,10,1
!@!!!!,Punctuation,10,1
!^^,Punctuation,1,1
!^^,Punctuation,10,1
!~,Punctuation,10,1
!~~~,Punctuation,1,1
"""",Punctuation,1,40
"""",Punctuation,3,2
"""",Punctuation,5,2
"""",Punctuation,6,9
"""",Punctuation,7,12
"""",Punctuation,8,17
"""",Punctuation,9,8
"""",Punctuation,10,17
#32353인줄,Hashtag,10,1
$#$%$#,Punctuation,1,1
%#어,Hashtag,10,1
&,Punctuation,1,2
&,Punctuation,7,1
&,Punctuation,8,1
&,Punctuation,10,4
&#...,Punctuation,9,1
&@,Punctuation,1,1
',Punctuation,1,31
',Punctuation,3,1
',Punctuation,4,2
',Punctuation,5,8
',Punctuation,6,8
',Punctuation,7,2
',Punctuation,8,12
',Punctuation,9,5
',Punctuation,10,29
'+',Punctuation,4,1
"','",Punctuation,8,1
(,Punctuation,1,14
(,Punctuation,4,1
(,Punctuation,5,2
(,Punctuation,6,4
(,Punctuation,7,2
(,Punctuation,8,8
(,Punctuation,9,5
(,Punctuation,10,14
(!),Punctuation,10,1
(;,Punctuation,1,1
(?),Punctuation,1,1
(?),Punctuation,5,2
(?),Punctuation,10,2
),Punctuation,1,13
),Punctuation,4,1
),Punctuation,5,1
),Punctuation,6,5
),Punctuation,7,2
),Punctuation,8,8
),Punctuation,9,3
),Punctuation,10,10
")""",Punctuation,8,1
)',Punctuation,10,1
)+,Punctuation,6,1
"),",Punctuation,1,1
"),",Punctuation,10,1
)...,Punctuation,5,1
*,Punctuation,1,1
*,Punctuation,9,1
**,Punctuation,2,1
*^^*,Punctuation,8,1
+,Punctuation,1,35
+,Punctuation,2,4
+,Punctuation,3,1
+,Punctuation,4,1
+,Punctuation,5,8
+,Punctuation,6,13
+,Punctuation,7,12
+,Punctuation,8,12
+,Punctuation,9,8
+,Punctuation,10,19
+),Punctuation,10,1
+_+,Punctuation,10,3
",",Foreign,5,1
",",Punctuation,1,263
",",Punctuation,2,21
",",Punctuation,3,12
",",Punctuation,4,28
",",Punctuation,5,34
",",Punctuation,6,43
",",Punctuation,7,56
",",Punctuation,8,111
",",Punctuation,9,133
",",Punctuation,10,576
",,",Foreign,5,1
",,",Punctuation,1,16
",,",Punctuation,2,1
",,",Punctuation,4,1
",,",Punctuation,5,4
",,",Punctuation,7,3
",,",Punctuation,8,9
",,",Punctuation,9,1
",,",Punctuation,10,21
",,,",Punctuation,1,10
",,,",Punctuation,2,1
",,,",Punctuation,4,3
",,,",Punctuation,6,2
",,,",Punctuation,7,1
",,,",Punctuation,8,5
",,,",Punctuation,9,1
",,,",Punctuation,10,16
",,,,",Punctuation,6,1
",,,,",Punctuation,9,2
",,,,",Punctuation,10,3
",,,,-",Punctuation,1,1
",.",Punctuation,5,1
",.",Punctuation,10,1
",.,,",Punctuation,10,1
",.,.",Punctuation,5,1
",.,.,.,.,.",Punctuation,1,1
",..",Punctuation,1,2
",..",Punctuation,7,2
",..",Punctuation,10,5
",..,.,.,.,.,.,.,.,",Punctuation,1,1
",...",Punctuation,7,1
",...,",Punctuation,1,1
",....",Punctuation,10,1
",~",Punctuation,1,1
-,Punctuation,1,18
-,Punctuation,4,1
-,Punctuation,5,5
-,Punctuation,6,1
-,Punctuation,7,2
-,Punctuation,8,5
-,Punctuation,9,3
-,Punctuation,10,11
---,Punctuation,5,1
----,Punctuation,1,1
-.-,Punctuation,3,1
-...,Punctuation,7,1
-_-,Punctuation,1,3
-_-,Punctuation,6,1
-_-,Punctuation,10,2
-_-;;,Punctuation,1,1
-_-;;,Punctuation,8,1
-_-;;,Punctuation,10,2
.,Punctuation,1,1731
.,Punctuation,2,96
.,Punctuation,3,50
.,Punctuation,4,102
.,Punctuation,5,126
.,Punctuation,6,214
.,Punctuation,7,252
.,Punctuation,8,493
.,Punctuation,9,517
.,Punctuation,10,2283
.!,Punctuation,7,1
.!,Punctuation,8,1
.!,Punctuation,10,1
.!!!,Punctuation,1,1
.!!!!,Punctuation,9,1
.!!!!,Punctuation,10,1
".""",Punctuation,1,1
".""",Punctuation,8,1
".""",Punctuation,10,2
.',Punctuation,1,2
.'''...//--,Punctuation,1,1
.(,Punctuation,1,2
.(,Punctuation,6,1
.(,Punctuation,8,1
.),Punctuation,1,2
".,",Punctuation,1,2
".,",Punctuation,6,1
".,",Punctuation,9,2
".,",Punctuation,10,2
".,,,",Punctuation,10,1
".,,.",Punctuation,1,1
".,.",Punctuation,9,1
".,.,.,.,.",Punctuation,1,2
".,.,.,.,.,",Punctuation,1,1
".,.,.,.,.,.,",Punctuation,10,1
".,...,...,..,..",Punctuation,1,1
".,?!~""':;",Punctuation,1,1
..,Punctuation,1,563
..,Punctuation,2,45
..,Punctuation,3,20
..,Punctuation,4,26
..,Punctuation,5,45
..,Punctuation,6,55
..,Punctuation,7,124
..,Punctuation,8,199
..,Punctuation,9,181
..,Punctuation,10,823
..!,Punctuation,1,1
..!,Punctuation,7,1
..!,Punctuation,8,1
..!,Punctuation,10,4
..!!,Punctuation,1,1
..!!,Punctuation,9,1
..!!,Punctuation,10,1
..!...,Punctuation,9,1
..!?,Punctuation,10,1
..'',Punctuation,1,1
..(__),Punctuation,8,1
..),Punctuation,7,1
"..,",Punctuation,10,1
"..,,,",Punctuation,1,1
"..,,..,,..,,",Punctuation,10,1
..-,Punctuation,1,1
...,Punctuation,1,728
...,Punctuation,2,37
...,Punctuation,3,40
...,Punctuation,4,48
...,Punctuation,5,63
...,Punctuation,6,89
...,Punctuation,7,84
...,Punctuation,8,163
...,Punctuation,9,128
...,Punctuation,10,767
...!,Punctuation,6,1
...!,Punctuation,10,3
...!!,Punctuation,1,1
...!!,Punctuation,10,2
...!!!,Punctuation,10,2
...(,Punctuation,6,1
...(,Punctuation,10,1
...),Punctuation,10,1
"...,",Punctuation,1,1
"...,....,.",Punctuation,10,1
...-,Punctuation,5,1
...--.._.._._.\_,Punctuation,10,1
...-.-;;;,Punctuation,1,1
...-_-;,Punctuation,1,1
....,Punctuation,1,239
....,Punctuation,2,11
....,Punctuation,3,6
....,Punctuation,4,6
....,Punctuation,5,10
....,Punctuation,6,22
....,Punctuation,7,12
....,Punctuation,8,23
....,Punctuation,9,23
....,Punctuation,10,114
"....""",Punctuation,10,1
.....,Punctuation,1,2
.....,Punctuation,10,3
......,Punctuation,1,1
......,Punctuation,4,1
......,Punctuation,6,1
....;;,Punctuation,10,1
....;;;,Punctuation,1,1
....;;;,Punctuation,8,1
....?,Punctuation,1,2
....?,Punctuation,3,1
....?,Punctuation,8,2
....?,Punctuation,10,1
...;;,Punctuation,8,1
...;;;,Punctuation,6,1
...?,Punctuation,1,7
...?,Punctuation,6,1
...?,Punctuation,7,3
...?,Punctuation,8,1
...?,Punctuation,10,1
..:,Punctuation,10,1
..;,Punctuation,1,2
..;,Punctuation,10,1
..;;,Punctuation,1,1
..;;,Punctuation,6,1
..;;,Punctuation,8,1
..;;,Punctuation,9,2
..;;,Punctuation,10,2
..?,Punctuation,1,6
..?,Punctuation,2,2
..?,Punctuation,3,1
..?,Punctuation,7,1
..?,Punctuation,8,1
..?,Punctuation,9,2
..?,Punctuation,10,12
..??,Punctuation,10,1
..^&^,Punctuation,6,1
..^^,Punctuation,1,3
..^^,Punctuation,10,3
..^^!!,Punctuation,8,1
..^^..,Punctuation,10,1
./,Punctuation,5,1
.:.,Punctuation,6,1
.;,Punctuation,10,1
.;;,Punctuation,9,1
.?,Punctuation,8,1
.?,Punctuation,10,1
.^^,Punctuation,1,1
.^^,Punctuation,8,1
.`,Punctuation,10,1
.~,Punctuation,1,1
.~,Punctuation,9,1
.~,Punctuation,10,1
.~~,Punctuation,6,1
/,Punctuation,1,5
/,Punctuation,4,1
/,Punctuation,5,1
/,Punctuation,7,2
/,Punctuation,9,1
/,Punctuation,10,3
//,Punctuation,1,1
//,Punctuation,6,1
//,Punctuation,9,1
//,Punctuation,10,1
0,Number,1,132
0,Number,7,1
0,Number,9,1
0,Number,10,5
0%,Number,1,1
0.00001%,Number,1,1
0.001,Number,1,1
0.1,Number,1,1
0.5,Number,1,8
02시,Number,1,2
1,Number,1,319
1,Number,2,4
1,Number,3,1
1,Number,4,9
1,Number,5,3
1,Number,6,3
1,Number,7,7
1,Number,8,10
1,Number,9,9
1,Number,10,82
1%,Number,1,1
10,Number,1,46
10,Number,2,1
10,Number,3,1
10,Number,4,5
10,Number,5,1
10,Number,6,2
10,Number,7,4
10,Number,8,4
10,Number,9,6
10,Number,10,154
10%,Number,1,1
100,Number,1,1
100,Number,8,4
100,Number,10,5
100%,Number,1,2
100%,Number,4,1
100%,Number,8,1
100%,Number,9,1
1000,Number,10,1
10000,Number,1,1
1000만,Number,9,1
100만,Number,1,6
100만,Number,9,1
100만,Number,10,11
100만만,Number,8,1
10년,Number,6,1
10년,Number,8,1
10년,Number,10,2
10분,Number,1,1
10분,Number,2,1
10분,Number,7,1
10분,Number,10,2
10시간,Number,3,1
10억,Number,10,1
10원,Number,1,1
10일,Number,1,1
10회,Number,10,1
11,Number,1,2
11,Number,10,5
1111,Number,1,1
12,Number,9,1
12.2,Number,10,1
120분,Number,10,3
123333413,Number,1,1
123455,Number,1,1
123456,Number,1,1
1234567890,Number,7,1
124124,Number,1,1
12시,Number,1,1
12월,Number,10,1
14,Number,1,2
140,Number,10,1
15,Number,1,1
15,Number,7,1
15,Number,8,1
15,Number,9,1
1519110791122,Number,1,1
1528717745812,Number,10,1
15분,Number,10,1
16,Number,9,1
17,Number,1,1
17,Number,9,1
170606,Number,8,1
17년,Number,7,1
17년,Number,10,1
17일,Number,1,1
17일,Number,6,1
18,Number,1,2
18,Number,8,1
180,Number,9,1
180,Number,10,1
1855,Number,9,1
18일,Number,1,1
18일,Number,10,1
19,Number,1,1
19,Number,8,2
19,Number,10,5
193857261819505028274729194717164849201746361536596020195857261657383050682717483727185960673719406068,Number,1,1
19일,Number,1,1
1년,Number,10,4
1분,Number,8,1
1분,Number,9,1
1분,Number,10,1
1시,Number,1,1
1시간,Number,1,3
1시간,Number,4,1
1원,Number,1,2
1일,Number,10,1
1회,Number,10,1
2,Number,1,24
2,Number,2,15
2,Number,4,5
2,Number,5,3
2,Number,6,2
2,Number,7,2
2,Number,8,4
2,Number,9,2
2,Number,10,23
2%,Number,5,1
2%,Number,6,1
2-3,Number,3,1
2-3,Number,10,1
20,Number,1,3
20,Number,6,1
20,Number,10,6
2000,Number,10,1
200만,Number,1,1
2010년,Number,10,1
2016,Number,10,1
2016년,Number,10,1
2017,Number,10,2
2017년,Number,1,1
2017년,Number,7,1
2017년,Number,9,1
2017년,Number,10,12
2018,Number,10,1
2019년,Number,10,1
2020,Number,10,2
2020년,Number,10,1
20분,Number,1,2
21,Number,6,1
21,Number,10,2
222,Number,10,1
222331,Number,2,1
22403160267334415412,Number,10,1
22403197687095503481,Number,1,1
22분,Number,1,1
230만,Number,1,2
25,Number,1,1
25253,Number,1,1
27일,Number,7,1
29,Number,1,1
2~3년,Number,9,1
2~3년,Number,10,1
2년,Number,1,1
2년,Number,10,2
2시간,Number,1,6
2시간,Number,5,1
2시간,Number,6,2
2시간,Number,7,2
2시간,Number,8,4
2시간,Number,9,1
2시간,Number,10,19
2회,Number,10,2
3,Number,1,16
3,Number,2,2
3,Number,3,4
3,Number,4,3
3,Number,5,1
3,Number,6,1
3,Number,7,1
3,Number,8,1
3,Number,9,2
3,Number,10,23
30,Number,6,1
30,Number,8,1
30,Number,9,1
30,Number,10,2
300,Number,10,1
300만,Number,6,1
300만,Number,7,1
300만,Number,9,2
30년,Number,1,1
30년,Number,7,1
30년,Number,10,1
30분,Number,1,4
30분,Number,10,1
32%,Number,5,1
34334,Number,10,1
36,Number,10,1
3년,Number,1,1
3년,Number,10,1
3등,Number,9,1
3분,Number,1,1
3시,Number,10,1
3시간,Number,10,1
3일,Number,10,1
3천원,Number,1,1
3회,Number,10,1
4,Number,1,8
4,Number,4,5
4,Number,8,2
4,Number,9,1
4,Number,10,5
4.5,Number,10,2
456,Number,4,1
46분,Number,1,1
4~5분,Number,8,1
4년,Number,6,1
4년,Number,10,1
5,Number,1,10
5,Number,4,1
5,Number,5,8
5,Number,6,2
5,Number,7,2
5,Number,8,2
5,Number,9,8
5,Number,10,19
5.18,Number,1,1
5.5,Number,8,1
5.69,Number,10,1
5.8,Number,10,2
50,Number,9,1
50,Number,10,1
50%,Number,1,1
50%,Number,5,1
5000원,Number,6,1
500만,Number,8,1
500만,Number,9,3
500만,Number,10,3
50만,Number,1,1
518,Number,10,1
59%,Number,1,1
5~6,Number,7,1
5년,Number,1,1
5분,Number,1,1
5분,Number,8,1
5월,Number,1,2
5월,Number,10,2
5천원,Number,1,1
6,Number,1,5
6,Number,3,1
6,Number,4,1
6,Number,6,11
6,Number,7,1
6,Number,8,1
6,Number,9,1
6,Number,10,5
6.3,Number,1,1
6.5,Number,1,1
6.7,Number,7,1
6.8,Number,1,1
600,Number,5,1
6000원,Number,1,1
60년,Number,1,1
60억,Number,1,1
6~7,Number,7,1
6시,Number,1,1
6월,Number,7,1
7,Number,1,7
7,Number,5,1
7,Number,6,3
7,Number,7,16
7,Number,8,3
7,Number,10,23
7-8,Number,10,1
7.5,Number,6,1
7.5,Number,7,1
7.5,Number,9,1
7.5,Number,10,2
7.7,Number,7,1
7.7,Number,8,1
7.7,Number,10,1
7.8,Number,8,1
7.8,Number,10,1
70,Number,6,1
70,Number,7,1
70%,Number,5,1
700만,Number,4,1
700만,Number,10,1
70년,Number,1,1
70년,Number,4,1
70만,Number,1,1
70만,Number,6,1
77,Number,10,1
7~8,Number,4,1
7~8,Number,9,1
7~8,Number,10,1
7분,Number,8,2
7분,Number,9,2
7분,Number,10,5
7시,Number,10,1
8,Number,1,6
8,Number,2,1
8,Number,4,1
8,Number,5,1
8,Number,7,1
8,Number,8,9
8,Number,9,3
8,Number,10,24
8.14,Number,10,2
8.2,Number,10,2
8.5,Number,10,4
8.6,Number,10,1
8.63,Number,1,1
8.8,Number,10,1
8.9,Number,5,1
80%,Number,1,1
80~90년,Number,1,1
80년,Number,1,7
80년,Number,4,2
80년,Number,6,3
80년,Number,8,1
80년,Number,9,1
8~9,Number,6,1
8~9,Number,10,1
8분,Number,1,1
8분,Number,10,1
9,Number,1,4
9,Number,8,1
9,Number,9,6
9,Number,10,9
9.05,Number,1,1
9.5,Number,1,1
90%,Number,9,1
9000원,Number,4,1
900만,Number,8,1
90년,Number,1,2
90년,Number,5,1
90만,Number,1,1
90만,Number,8,2
90만,Number,9,1
95만,Number,7,1
95만,Number,8,1
95만,Number,10,1
9천원,Number,1,1
9천원,Number,10,1
9초,Number,10,1
:,Punctuation,1,10
:,Punctuation,4,1
:,Punctuation,6,2
:,Punctuation,7,1
:,Punctuation,8,2
:,Punctuation,9,1
:,Punctuation,10,5
:),Punctuation,8,1
:),Punctuation,9,1
:),Punctuation,10,8
:-),Punctuation,10,1
;,Punctuation,1,16
;,Punctuation,2,3
;,Punctuation,3,1
;,Punctuation,6,2
;,Punctuation,7,1
;,Punctuation,8,4
;,Punctuation,9,5
;,Punctuation,10,8
;(:(&@,Punctuation,1,1
;;,Punctuation,1,17
;;,Punctuation,2,2
;;,Punctuation,4,3
;;,Punctuation,6,1
;;,Punctuation,7,3
;;,Punctuation,8,5
;;,Punctuation,9,8
;;,Punctuation,10,26
;;/;,Punctuation,1,1
;;;,Punctuation,1,10
;;;,Punctuation,2,1
;;;,Punctuation,8,2
;;;,Punctuation,9,1
;;;,Punctuation,10,8
";;;,,,;;;",Punctuation,1,1
;;;.,Punctuation,10,1
;;;;,Punctuation,1,4
;;;;,Punctuation,10,2
;;;;...,Punctuation,10,1
;;^^;;,Punctuation,10,2
<,Punctuation,1,2
<,Punctuation,4,2
<,Punctuation,6,1
<,Punctuation,8,4
<,Punctuation,10,3
=,Punctuation,1,10
=,Punctuation,2,2
=,Punctuation,3,1
=,Punctuation,5,1
=,Punctuation,6,1
=,Punctuation,7,3
=,Punctuation,10,4
>,Punctuation,1,2
>,Punctuation,4,2
>,Punctuation,6,1
>,Punctuation,7,3
>,Punctuation,8,4
>,Punctuation,10,2
>&,Punctuation,1,1
>.<,Punctuation,10,3
><,Punctuation,10,1
>>,Punctuation,10,1
>>>,Punctuation,1,1
>>>>,Punctuation,1,2
>_<,Punctuation,10,3
?,Punctuation,1,424
?,Punctuation,2,17
?,Punctuation,3,8
?,Punctuation,4,10
?,Punctuation,5,9
?,Punctuation,6,17
?,Punctuation,7,35
?,Punctuation,8,45
?,Punctuation,9,46
?,Punctuation,10,245
?!,Punctuation,1,4
?!,Punctuation,6,1
?!,Punctuation,10,7
?!!,Punctuation,1,1
?!!,Punctuation,9,1
?!!!,Punctuation,9,1
"?""",Punctuation,1,1
"?""",Punctuation,10,2
"?,",Punctuation,1,1
"?,...",Punctuation,10,1
?.,Punctuation,10,1
?..,Punctuation,1,2
?..,Punctuation,9,1
?..,Punctuation,10,6
?...,Punctuation,1,1
?...,Punctuation,5,1
?...,Punctuation,7,1
?...,Punctuation,9,1
?;,Punctuation,1,1
?;;;,Punctuation,1,1
??,Punctuation,1,54
??,Punctuation,2,1
??,Punctuation,4,3
??,Punctuation,5,2
??,Punctuation,6,1
??,Punctuation,7,7
??,Punctuation,8,4
??,Punctuation,9,5
??,Punctuation,10,31
??!!,Punctuation,10,1
??;;,Punctuation,10,1
???,Punctuation,1,17
???,Punctuation,2,1
???,Punctuation,4,2
???,Punctuation,5,3
???,Punctuation,7,1
???,Punctuation,8,1
???,Punctuation,9,2
???,Punctuation,10,14
????,Punctuation,1,12
????,Punctuation,3,1
????,Punctuation,9,1
?????,Punctuation,10,1
?^^,Punctuation,10,1
?~,Punctuation,7,1
@,Punctuation,1,1
@,Punctuation,6,2
@,Punctuation,10,1
@@,Punctuation,10,1
@@),Punctuation,1,1
@@@@,Punctuation,1,1
A,Alpha,6,1
A,Alpha,8,1
A,Alpha,9,1
B,Alpha,1,3
B,Alpha,8,1
B,Alpha,9,1
B,Alpha,10,1
BEST,Alpha,1,1
BGM,Alpha,10,2
BL,Alpha,1,2
BL,Alpha,6,1
C,Alpha,1,1
C,Alpha,6,1
CGV,Alpha,1,1
CJ,Alpha,1,2
CJ,Alpha,8,1
D,Alpha,6,1
DVD,Alpha,1,2
DVD,Alpha,10,2
GET,Alpha,1,1
Garbage,Alpha,1,3
Go,Alpha,10,1
Good,Alpha,10,2
Goood,Alpha,10,1
HDRip,Alpha,1,1
IMDB,Alpha,7,1
IPTV,Alpha,1,1
IPTV,Alpha,5,1
IPTV,Alpha,10,1
Ida,Alpha,10,1
In,Alpha,1,1
Ip,Alpha,1,1
Iptv,Alpha,1,1
Iptv,Alpha,5,1
JK,Alpha,10,1
Just,Alpha,6,1
K,Alpha,10,1
Love,Alpha,10,1
MSG,Alpha,1,1
N,Alpha,10,6
NN,Alpha,10,1
O,Alpha,4,1
OCN,Alpha,1,3
OCN,Alpha,9,1
OCN,Alpha,10,1
OO,Alpha,1,29
OO,Alpha,4,2
OO,Alpha,5,1
OO,Alpha,6,2
OO,Alpha,7,1
OO,Alpha,9,2
OO,Alpha,10,24
OOO,Alpha,1,20
OOO,Alpha,2,2
OOO,Alpha,3,2
OOO,Alpha,8,3
OOO,Alpha,9,3
OOO,Alpha,10,12
OOOO,Alpha,1,2
OOin,Alpha,10,1
OST,Alpha,2,1
OST,Alpha,10,3
OUT,Alpha,1,7
Ocn,Alpha,8,1
Ost,Alpha,10,1
Out,Alpha,1,1
P,Alpha,1,1
PS,Alpha,7,1
PS,Alpha,10,3
S,Alpha,1,1
S,Alpha,6,1
SF,Alpha,9,1
SM,Alpha,6,1
SNS,Alpha,1,32
SNS,Alpha,2,2
SNS,Alpha,3,1
SNS,Alpha,6,2
SNS,Alpha,7,3
SNS,Alpha,8,1
SNS,Alpha,9,9
SNS,Alpha,10,10
SnS,Alpha,1,1
Sns,Alpha,1,3
T,Alpha,10,2
TV,Alpha,1,5
TV,Alpha,4,1
TV,Alpha,10,1
V,Alpha,1,1
V,Alpha,6,1
VOD,Alpha,1,4
VOD,Alpha,4,1
VOD,Alpha,10,3
Vod,Alpha,8,1
Vod,Alpha,10,1
Vubtegkhy,Alpha,10,1
WWC,Alpha,1,1
X,Alpha,1,4
X,Alpha,3,1
X,Alpha,6,1
X,Alpha,9,3
X,Alpha,10,1
XX,Alpha,2,1
XX,Alpha,10,2
[,Punctuation,1,1
[,Punctuation,6,1
[,Punctuation,7,1
\,Punctuation,10,1
],Punctuation,1,1
],Punctuation,4,1
],Punctuation,6,1
],Punctuation,7,1
^,Punctuation,1,2
^,Punctuation,8,1
^,Punctuation,10,6
^+^,Punctuation,10,1
^---^,Punctuation,9,1
^-^,Punctuation,7,1
^...,Punctuation,10,1
^.^,Punctuation,10,1
^.^~,Punctuation,1,1
^.~,Punctuation,1,1
^;,Punctuation,10,1
^^,Punctuation,1,31
^^,Punctuation,3,2
^^,Punctuation,5,1
^^,Punctuation,7,2
^^,Punctuation,8,13
^^,Punctuation,9,18
^^,Punctuation,10,72
^^!!,Punctuation,3,1
^^),Punctuation,10,1
^^....,Punctuation,10,1
^^;,Punctuation,4,1
^^;,Punctuation,5,1
^^;,Punctuation,10,1
^^;;,Punctuation,1,1
^^?,Punctuation,1,1
^^^,Punctuation,1,3
^^^^,Punctuation,1,1
^^^^,Punctuation,10,1
^^~,Punctuation,1,1
^^~,Punctuation,10,1
^^~~~,Punctuation,8,1
^_^,Punctuation,1,1
^~,Punctuation,10,2
^~~,Punctuation,10,1
_,Punctuation,1,2
_,Punctuation,6,1
_,Punctuation,7,2
_,Punctuation,8,1
_,Punctuation,10,6
_-_-_-_-_-_,Punctuation,1,1
a,Alpha,7,1
affair,Alpha,10,1
astrand,Alpha,10,1
b,Alpha,1,1
b,Alpha,9,2
b,Alpha,10,5
ba,Alpha,10,1
bad,Alpha,10,1
bb,Alpha,2,1
bb,Alpha,6,1
bb,Alpha,9,1
bb,Alpha,10,4
bbbb,Alpha,10,1
bgm,Alpha,10,1
bl,Alpha,1,1
bl,Alpha,5,1
breaking,Alpha,10,1
buftfgh,Alpha,10,1
but,Alpha,1,1
by,Alpha,1,2
byebyebyebye,Alpha,1,1
cctv,Alpha,7,1
cf,Alpha,2,1
cgv,Alpha,10,2
city,Alpha,10,1
cj,Alpha,1,3
cj,Alpha,8,2
clicher,Alpha,1,1
cvbnm,Alpha,10,1
ddasdasddsds,Alpha,1,1
ddeafefaefawefwefw,Alpha,1,1
dgoodgoidgood,Alpha,10,1
dhshsvsh,Alpha,1,1
dvd,Alpha,10,1
fdgdgdgfdgdghfdsthfghhgf,Alpha,6,1
feat,Alpha,1,1
feat,Alpha,9,1
feel,Alpha,7,1
fghjkl,Alpha,10,1
g,Alpha,1,1
get,Alpha,1,1
ggg,Alpha,10,1
gnghl,Alpha,10,1
good,Alpha,9,1
good,Alpha,10,6
gooood,Alpha,10,1
gv,Alpha,10,1
hshdhso,Alpha,1,1
hsysyshdhdhd,Alpha,4,1
http://blog.naver.com/comeart84/221020197988,URL,9,1
http://m.ppomppu.co.kr/new/bbs_view.php?id=freeboard&no=5303142&category=,URL,1,1
http://movie.naver.com/movie/bi/pi/basic.nhn?code=54155,URL,1,1
http://v.entertain.media.daum.net/v/20170602112547917?f=m,URL,10,2
http://www.ddanzi.com/free/184193086#88,URL,1,2
http://www.instiz.net/pt/4549203,URL,1,2
http://www.newsen.com/news_view.php?uid=201705251439361910,URL,10,1
https://entertain.v.daum.net/v/20170602112547917?f=m,URL,10,1
in,Alpha,1,1
ip,Alpha,1,2
iptv,Alpha,1,1
jQuery,Alpha,1,1
jQuery,Alpha,10,1
jj,Alpha,1,1
kg,Alpha,10,1
much,Alpha,5,1
n,Alpha,10,14
nn,Alpha,10,3
ocn,Alpha,1,3
ocn,Alpha,10,1
oiut,Alpha,1,4
or,Alpha,7,1
ost,Alpha,10,6
out,Alpha,1,4
p,Alpha,1,5
pass,Alpha,4,1
ps,Alpha,1,2
ps,Alpha,8,1
ps,Alpha,9,1
qwaasef,Alpha,10,1
r,Alpha,10,1
reehhykgcio,Alpha,10,1
s,Alpha,1,1
s,Alpha,9,1
s,Alpha,10,2
sin,Alpha,7,1
skt,Alpha,2,1
sns,Alpha,1,54
sns,Alpha,2,2
sns,Alpha,3,2
sns,Alpha,4,2
sns,Alpha,5,1
sns,Alpha,6,2
sns,Alpha,7,3
sns,Alpha,8,6
sns,Alpha,9,4
sns,Alpha,10,15
ss,Alpha,10,1
st,Alpha,8,1
synario,Alpha,1,1
t,Alpha,8,1
too,Alpha,5,1
tv,Alpha,1,5
tv,Alpha,7,1
twitter,Alpha,1,1
v,Alpha,10,1
vid,Alpha,1,1
vod,Alpha,1,4
vod,Alpha,10,12
x,Alpha,1,3
x,Alpha,9,1
x,Alpha,10,2
xF,Alpha,9,1
xxx,Alpha,1,1
zot,Alpha,1,1
~,Punctuation,1,130
~,Punctuation,2,3
~,Punctuation,3,1
~,Punctuation,4,1
~,Punctuation,5,6
~,Punctuation,6,6
~,Punctuation,7,22
~,Punctuation,8,46
~,Punctuation,9,44
~,Punctuation,10,153
~!,Punctuation,1,4
~!,Punctuation,7,1
~!,Punctuation,8,3
~!,Punctuation,9,2
~!,Punctuation,10,11
~!!,Punctuation,1,3
~!!,Punctuation,8,2
~!!,Punctuation,10,5
~!!!,Punctuation,1,2
~!!!,Punctuation,9,1
~!!!,Punctuation,10,2
~!!!!,Punctuation,10,2
~**,Punctuation,7,1
"~,",Punctuation,9,1
~.,Punctuation,5,1
~...,Punctuation,1,1
~?,Punctuation,8,1
~???,Punctuation,10,1
~^^,Punctuation,1,1
~^^,Punctuation,4,1
~^^,Punctuation,5,1
~^^,Punctuation,9,3
~^^,Punctuation,10,10
~^^^,Punctuation,10,1
~~,Punctuation,1,34
~~,Punctuation,2,2
~~,Punctuation,3,3
~~,Punctuation,4,2
~~,Punctuation,5,4
~~,Punctuation,6,3
~~,Punctuation,7,7
~~,Punctuation,8,19
~~,Punctuation,9,15
~~,Punctuation,10,65
~~!,Punctuation,1,1
~~!,Punctuation,3,1
~~!,Punctuation,8,1
~~!,Punctuation,10,2
~~!!,Punctuation,1,3
~~!!,Punctuation,10,1
~~!!!!,Punctuation,6,1
~~;;;;,Punctuation,1,1
~~^,Punctuation,10,1
~~^-^,Punctuation,10,1
~~^^,Punctuation,1,1
~~^^,Punctuation,6,2
~~^^,Punctuation,8,3
~~^^,Punctuation,9,3
~~^^,Punctuation,10,1
~~~,Punctuation,1,18
~~~,Punctuation,2,1
